,author,date,description,detection,falsepositives,fields,id,level,logsource,modified,references,related,status,tags,title,notes,enrichment,Note,analysis
0,"@SBousseaden (detection), Thomas Patzke (rule)",2019/02/01,Detects remote thread creation from CACTUSTORCH as described in references.,"{u'selection': {u'EventID': 8, u'SourceImage|endswith': [u'\System32\cscript.exe', u'\System32\wscript.exe', u'\System32\mshta.exe', u'\winword.exe', u'\excel.exe'], u'TargetImage|contains': u'\SysWOW64\', u'StartModule': None}, u'condition': u'selection'}",[unknown],,2e4e488a-6164-4811-9ea1-f960c7359c40,high,"{u'category': u'create_remote_thread', u'product': u'windows'}",2020/08/28,"[https://twitter.com/SBousseaden/status/1090588499517079552, https://github.com/mdsecactivebreach/CACTUSTORCH]",,experimental,"[attack.defense_evasion, attack.t1093, attack.t1055.012, attack.execution, attack.t1064, attack.t1059.005, attack.t1059.007, attack.t1218.005]",CACTUSTORCH Remote Thread Creation,,,,
1,"Olaf Hartong, Florian Roth, Aleksey Potapov, oscd.community",2018/11/30,Detects a possible remote threat creation with certain characteristics which are typical for Cobalt Strike beacons,"{u'selection': {u'TargetProcessAddress|endswith': [u'0B80', u'0C7C', u'0C88']}, u'condition': u'selection'}",[unknown],,6309645e-122d-4c5b-bb2b-22e4f9c2fa42,high,"{u'category': u'create_remote_thread', u'product': u'windows'}",2020/08/28,"[https://medium.com/@olafhartong/cobalt-strike-remote-threads-detection-206372d11d0f, https://blog.cobaltstrike.com/2018/04/09/cobalt-strike-3-11-the-snake-that-eats-its-tail/]",,experimental,"[attack.defense_evasion, attack.t1055, attack.t1055.001]",CobaltStrike Process Injection,,,,
2,Roberto Rodriguez @Cyb3rWard0g,2019/08/11,Detects potential use of CreateRemoteThread api and LoadLibrary function to inject DLL into a process,"{u'selection': {u'StartFunction': u'LoadLibraryA', u'StartModule|endswith': u'\kernel32.dll'}, u'condition': u'selection'}",[Unknown],,052ec6f6-1adc-41e6-907a-f1c813478bee,critical,"{u'category': u'create_remote_thread', u'product': u'windows'}",2020/08/28,[https://threathunterplaybook.com/notebooks/windows/05_defense_evasion/WIN-180719170510.html],,experimental,"[attack.defense_evasion, attack.t1055, attack.t1055.001]",CreateRemoteThread API and LoadLibrary,,,,
3,Thomas Patzke,2017/02/19,Detects password dumper activity by monitoring remote thread creation EventID 8 in combination with the lsass.exe process as TargetImage. The process in field Process is the malicious program. A single execution can lead to hundreds of events.,"{u'selection': {u'TargetImage|endswith': u'\lsass.exe', u'StartModule': u''}, u'condition': u'selection'}",[Antivirus products],,f239b326-2f41-4d6b-9dfa-c846a60ef505,high,"{u'category': u'create_remote_thread', u'product': u'windows'}",2021/06/21,[https://jpcertcc.github.io/ToolAnalysisResultSheet/details/WCE.htm],,stable,"[attack.credential_access, attack.t1003, attack.s0005, attack.t1003.001]",Password Dumper Remote Thread in LSASS,,,,
4,"Nikita Nazarov, oscd.community",2020/10/06,Detecting Code injection with PowerShell in another process,"{u'selection': {u'SourceImage|endswith': u'\powershell.exe'}, u'condition': u'selection'}",[Unknown],,eeb2e3dc-c1f4-40dd-9bd5-149ee465ad50,high,"{u'category': u'create_remote_thread', u'definition': u'Note that you have to configure logging for CreateRemoteThread in Symson config', u'product': u'windows'}",,[https://speakerdeck.com/heirhabarov/hunting-for-powershell-abuse],,experimental,"[attack.execution, attack.t1059.001]",Accessing WinAPI in PowerShell. Code Injection.,,,,
5,"Perez Diego (@darkquassar), oscd.community",2019/10/27,"Offensive tradecraft is switching away from using APIs like ""CreateRemoteThread"", however, this is still largely observed in the wild. This rule aims to detect suspicious processes (those we would not expect to behave in this way like word.exe or outlook.exe) creating remote threads on other processes. It is a generalistic rule, but it should have a low FP ratio due to the selected range of processes.","{u'filter': {u'SourceImage|contains': u'Visual Studio'}, u'selection': {u'SourceImage|endswith': [u'\bash.exe', u'\cvtres.exe', u'\defrag.exe', u'\dnx.exe', u'\esentutl.exe', u'\excel.exe', u'\expand.exe', u'\explorer.exe', u'\find.exe', u'\findstr.exe', u'\forfiles.exe', u'\git.exe', u'\gpupdate.exe', u'\hh.exe', u'\iexplore.exe', u'\installutil.exe', u'\lync.exe', u'\makecab.exe', u'\mDNSResponder.exe', u'\monitoringhost.exe', u'\msbuild.exe', u'\mshta.exe', u'\msiexec.exe', u'\mspaint.exe', u'\outlook.exe', u'\ping.exe', u'\powerpnt.exe', u'\powershell.exe', u'\provtool.exe', u'\python.exe', u'\regsvr32.exe', u'\robocopy.exe', u'\runonce.exe', u'\sapcimc.exe', u'\schtasks.exe', u'\smartscreen.exe', u'\spoolsv.exe', u'\tstheme.exe', u'\userinit.exe', u'\vssadmin.exe', u'\vssvc.exe', u'\w3wp.exe', u'\winlogon.exe', u'\winscp.exe', u'\wmic.exe', u'\word.exe', u'\wscript.exe']}, u'condition': u'selection and not filter'}",[Unknown],"[ComputerName, User, SourceImage, TargetImage]",66d31e5f-52d6-40a4-9615-002d3789a119,high,"{u'category': u'create_remote_thread', u'product': u'windows'}",2021/06/27,"[Personal research, statistical analysis, https://lolbas-project.github.io]",,experimental,"[attack.privilege_escalation, attack.defense_evasion, attack.t1055]",Suspicious Remote Thread Created,[MonitoringHost.exe is a process that loads .NET CLR by default and thus a favorite for process injection for .NET in-memory offensive tools.],,,
6,Florian Roth,2018/06/25,Detects PowerShell remote thread creation in Rundll32.exe,"{u'selection': {u'EventID': 8, u'SourceImage|endswith': u'\powershell.exe', u'TargetImage|endswith': u'\rundll32.exe'}, u'condition': u'selection'}",[Unknown],,99b97608-3e21-4bfe-8217-2a127c396a0e,high,"{u'category': u'create_remote_thread', u'product': u'windows'}",,[https://www.fireeye.com/blog/threat-research/2018/06/bring-your-own-land-novel-red-teaming-technique.html],,experimental,"[attack.defense_evasion, attack.execution, attack.t1085, attack.t1218.011, attack.t1086, attack.t1059.001]",PowerShell Rundll32 Remote Thread Creation,,,,
7,Thomas Patzke,2017/06/12,Detects PsExec service installation and execution events (service and Sysmon),"{u'sysmon_pipecreated': {u'PipeName': u'\PSEXESVC'}, u'condition': u'sysmon_pipecreated'}",[unknown],"[EventID, CommandLine, ParentCommandLine, ServiceName, ServiceFileName, TargetFilename, PipeName]",f3f3a972-f982-40ad-b63c-bca6afdfad7c,low,"{u'category': u'pipe_created', u'product': u'windows'}",2021/09/21,"[https://www.jpcert.or.jp/english/pub/sr/ir_research.html, https://jpcertcc.github.io/ToolAnalysisResultSheet]","[{u'type': u'derived', u'id': u'42c575ea-e41e-41f1-b248-8093c3e82a28'}]",experimental,"[attack.execution, attack.t1035, attack.t1569.002, attack.s0029]",PsExec Tool Execution,,,,
8,Roberto Rodriguez @Cyb3rWard0g,2019/09/12,Detects alternate PowerShell hosts potentially bypassing detections looking for powershell.exe,"{u'filter': {u'Image|endswith': [u'\powershell.exe', u'\powershell_ise.exe']}, u'selection': {u'PipeName|startswith': u'\PSHost'}, u'condition': u'selection and not filter'}",[Programs using PowerShell directly without invocation of a dedicated interpreter.],"[ComputerName, User, Image, PipeName]",58cb02d5-78ce-4692-b3e1-dce850aae41a,medium,"{u'category': u'pipe_created', u'product': u'windows'}",2019/11/10,[https://threathunterplaybook.com/notebooks/windows/02_execution/WIN-190815181010.html],,experimental,"[attack.execution, attack.t1086, attack.t1059.001]",Alternate PowerShell Hosts Pipe,,,,
9,Markus Neis,2017/11/06,Detects a named pipe used by Turla group samples,"{u'selection': {u'PipeName': [u'\atctl', u'\userpipe', u'\iehelper', u'\sdlrpc', u'\comnap']}, u'condition': u'selection'}",[Unknown],,739915e4-1e70-4778-8b8a-17db02f66db1,critical,"{u'category': u'pipe_created', u'definition': u'Note that you have to configure logging for PipeEvents in Symson config', u'product': u'windows'}",,[Internal Research],,experimental,[attack.g0010],Turla Group Named Pipes,,,,
