,Channel,Computer,Correlation,EventID,EventRecordID,Execution_ProcessID,Execution_ThreadID,FileName,Keywords,Level,Opcode,Provider_Guid,Provider_Name,Security_UserID,Task,TimeCreated_SystemTime,Version,Accesslist,Accessmask,Additionalinfo,Additionalinfo2,Handleid,Objectname,Objectserver,Objecttype,Operationtype,Properties,Subjectdomainname,Subjectlogonid,Subjectusername,Subjectusersid,Appcorrelationid,Attributeldapdisplayname,Attributesyntaxoid,Attributevalue,Dsname,Dstype,Objectclass,Objectdn,Objectguid,Opcorrelationid,Details,Eventtype,Image,Processguid,Processid,Rulename,Targetobject,Utctime,Membername,Membersid,Privilegelist,Targetdomainname,Targetsid,Targetusername,Commandline,Company,Currentdirectory,Description,Fileversion,Hashes,Integritylevel,Logonguid,Logonid,Parentcommandline,Parentimage,Parentprocessguid,Parentprocessid,Product,Terminalsessionid,User,Accountexpires,Allowedtodelegateto,Computeraccountchange,Displayname,Dnshostname,Homedirectory,Homepath,Logonhours,Newuacvalue,Olduacvalue,Passwordlastset,Primarygroupid,Profilepath,Samaccountname,Scriptpath,Serviceprincipalnames,Sidhistory,Useraccountcontrol,Userparameters,Userprincipalname,Userworkstations,Creationutctime,Targetfilename,Catalog,Category,Guid,Installer,Lspname,String,String2,String3,Bytestotal,Bytestransferred,Bytestransferredfrompeer,Filelength,Filetime,Id,Name,Peer,Transferid,Url,Additionalinfohr,Bandwidthlimit,Hr,Ignorebandwidthlimitsonlan,Peercontextinfo,Peerprotocolflags,Proxy,Calltrace,Grantedaccess,Sourceimage,Sourceprocessguid,Sourceprocessid,Sourcethreadid,Targetimage,Targetprocessguid,Targetprocessid,Imageloaded,Signature,Signaturestatus,Signed,Destinationhostname,Destinationip,Destinationisipv6,Destinationport,Destinationportname,Initiated,Protocol,Sourcehostname,Sourceip,Sourceisipv6,Sourceport,Sourceportname,Originalfilename,Destination,Operation,Type,Consumer,Filter,Eventnamespace,Query,Authenticationpackagename,Impersonationlevel,Ipaddress,Ipport,Keylength,Lmpackagename,Logonprocessname,Logontype,Processname,Targetlogonid,Targetusersid,Transmittedservices,Workstationname,Restrictedsidcount,Transactionid,Sidlist,Sourcesid,Sourceusername,Pipename,Elevatedtoken,Restrictedadminmode,Targetlinkedlogonid,Targetoutbounddomainname,Targetoutboundusername,Virtualaccount,Accessreason,Relativetargetname,Sharelocalpath,Sharename,Newthreadid,Startaddress,Startfunction,Startmodule,Taskcontent,Taskname,Schemaversion,State,Packagename,Status,Workstation,Targetinfo,Targetlogonguid,Targetservername,Newprocessid,Newprocessname,Tokenelevationtype,Service,Hash,Archived,Isexecutable,Queryname,Queryresults,Querystatus,Accountname,Imagepath,Servicename,Servicetype,Starttype,Disabledprivilegelist,Enabledprivilegelist,SIGMA Rule,SIGMA Description
0,Microsoft-Windows-Sysmon/Operational,PC01.example.corp,,1,1966368,1564,1252,persistence_sysmon_11_13_1_shime_appfix.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-03-19T20:48:33.439582400Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\sdbinst.exe,{365ABB72-55A1-5C91-0000-0010AB8C0700},2112,,,2019-03-19 20:48:33.279,,,,,,,"""C:\Windows\system32\sdbinst.exe"" -q ""C:\Windows\AppPatch\Test.SDB  ""  ",Microsoft Corporation,C:\Windows\System32\,Application Compatibility Database Installer,6.0.7600.16385 (win7_rtm.090713-1255),"MD5=2996B3E7BBA42BEA62D386D9386EDE97,IMPHASH=87CBEAE39ADA9E96C7F27B94962CD83F",High,{365ABB72-5417-5C91-0000-002035340300},0x0000000000033435,"""C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe"" ",C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe,{365ABB72-551C-5C91-0000-001030590500},2704,Microsoft® Windows® Operating System,1,EXAMPLE\user01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible Shim Database Persistence via sdbinst.exe,Detects installation of a new shim using sdbinst.exe. A shim can be used to load malicious DLLs into applications.
1,Microsoft-Windows-Sysmon/Operational,PC01.example.corp,,1,1966382,1564,1252,persistence_sysmon_11_13_1_shime_appfix.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-03-19T20:48:33.870201600Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\sdbinst.exe,{365ABB72-55A1-5C91-0000-0010D6960700},2368,,,2019-03-19 20:48:33.639,,,,,,,"""C:\Windows\system32\sdbinst.exe"" -q -u ""C:\Windows\AppPatch\Test.SDB  ""  ",Microsoft Corporation,C:\Windows\System32\,Application Compatibility Database Installer,6.0.7600.16385 (win7_rtm.090713-1255),"MD5=2996B3E7BBA42BEA62D386D9386EDE97,IMPHASH=87CBEAE39ADA9E96C7F27B94962CD83F",High,{365ABB72-5417-5C91-0000-002035340300},0x0000000000033435,"""C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe"" ",C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe,{365ABB72-551C-5C91-0000-001030590500},2704,Microsoft® Windows® Operating System,1,EXAMPLE\user01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible Shim Database Persistence via sdbinst.exe,Detects installation of a new shim using sdbinst.exe. A shim can be used to load malicious DLLs into applications.
2,Microsoft-Windows-Sysmon/Operational,PC01.example.corp,,1,1966388,1564,1252,persistence_sysmon_11_13_1_shime_appfix.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-03-19T20:49:27.787731200Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\sdbinst.exe,{365ABB72-55D7-5C91-0000-001067BD0700},2236,,,2019-03-19 20:49:27.697,,,,,,,"""C:\Windows\system32\sdbinst.exe"" -q ""C:\Windows\AppPatch\Test.SDB  ""  ",Microsoft Corporation,C:\Windows\System32\,Application Compatibility Database Installer,6.0.7600.16385 (win7_rtm.090713-1255),"MD5=2996B3E7BBA42BEA62D386D9386EDE97,IMPHASH=87CBEAE39ADA9E96C7F27B94962CD83F",High,{365ABB72-5417-5C91-0000-002035340300},0x0000000000033435,"""C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe"" ",C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe,{365ABB72-551C-5C91-0000-001030590500},2704,Microsoft® Windows® Operating System,1,EXAMPLE\user01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible Shim Database Persistence via sdbinst.exe,Detects installation of a new shim using sdbinst.exe. A shim can be used to load malicious DLLs into applications.
3,Microsoft-Windows-Sysmon/Operational,PC01.example.corp,,1,1966403,1564,1252,persistence_sysmon_11_13_1_shime_appfix.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-03-19T20:49:28.158264000Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\sdbinst.exe,{365ABB72-55D8-5C91-0000-001060C90700},3648,,,2019-03-19 20:49:28.058,,,,,,,"""C:\Windows\system32\sdbinst.exe"" -q -u ""C:\Windows\AppPatch\Test.SDB  ""  ",Microsoft Corporation,C:\Windows\System32\,Application Compatibility Database Installer,6.0.7600.16385 (win7_rtm.090713-1255),"MD5=2996B3E7BBA42BEA62D386D9386EDE97,IMPHASH=87CBEAE39ADA9E96C7F27B94962CD83F",High,{365ABB72-5417-5C91-0000-002035340300},0x0000000000033435,"""C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe"" ",C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe,{365ABB72-551C-5C91-0000-001030590500},2704,Microsoft® Windows® Operating System,1,EXAMPLE\user01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible Shim Database Persistence via sdbinst.exe,Detects installation of a new shim using sdbinst.exe. A shim can be used to load malicious DLLs into applications.
4,Microsoft-Windows-Sysmon/Operational,PC01.example.corp,,1,1966408,1564,1252,persistence_sysmon_11_13_1_shime_appfix.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-03-19T20:49:44.792182400Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\sdbinst.exe,{365ABB72-55E8-5C91-0000-001037DF0700},4052,,,2019-03-19 20:49:44.712,,,,,,,"""C:\Windows\system32\sdbinst.exe"" -q ""C:\Windows\AppPatch\Test.SDB  ""  ",Microsoft Corporation,C:\Windows\System32\,Application Compatibility Database Installer,6.0.7600.16385 (win7_rtm.090713-1255),"MD5=2996B3E7BBA42BEA62D386D9386EDE97,IMPHASH=87CBEAE39ADA9E96C7F27B94962CD83F",High,{365ABB72-5417-5C91-0000-002035340300},0x0000000000033435,"""C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe"" ",C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe,{365ABB72-551C-5C91-0000-001030590500},2704,Microsoft® Windows® Operating System,1,EXAMPLE\user01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible Shim Database Persistence via sdbinst.exe,Detects installation of a new shim using sdbinst.exe. A shim can be used to load malicious DLLs into applications.
5,Microsoft-Windows-Sysmon/Operational,PC01.example.corp,,1,1966423,1564,1252,persistence_sysmon_11_13_1_shime_appfix.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-03-19T20:49:45.162715200Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\sdbinst.exe,{365ABB72-55E9-5C91-0000-00102EEB0700},2104,,,2019-03-19 20:49:45.052,,,,,,,"""C:\Windows\system32\sdbinst.exe"" -q -u ""C:\Windows\AppPatch\Test.SDB  ""  ",Microsoft Corporation,C:\Windows\System32\,Application Compatibility Database Installer,6.0.7600.16385 (win7_rtm.090713-1255),"MD5=2996B3E7BBA42BEA62D386D9386EDE97,IMPHASH=87CBEAE39ADA9E96C7F27B94962CD83F",High,{365ABB72-5417-5C91-0000-002035340300},0x0000000000033435,"""C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe"" ",C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe,{365ABB72-551C-5C91-0000-001030590500},2704,Microsoft® Windows® Operating System,1,EXAMPLE\user01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible Shim Database Persistence via sdbinst.exe,Detects installation of a new shim using sdbinst.exe. A shim can be used to load malicious DLLs into applications.
6,Microsoft-Windows-Sysmon/Operational,PC01.example.corp,,1,1966429,1564,1252,persistence_sysmon_11_13_1_shime_appfix.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-03-19T20:52:25.933892800Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\sdbinst.exe,{365ABB72-5689-5C91-0000-0010543F0800},3896,,,2019-03-19 20:52:25.853,,,,,,,"""C:\Windows\system32\sdbinst.exe"" -q ""C:\Windows\AppPatch\Test.SDB  ""  ",Microsoft Corporation,C:\Windows\System32\,Application Compatibility Database Installer,6.0.7600.16385 (win7_rtm.090713-1255),"MD5=2996B3E7BBA42BEA62D386D9386EDE97,IMPHASH=87CBEAE39ADA9E96C7F27B94962CD83F",High,{365ABB72-5417-5C91-0000-002035340300},0x0000000000033435,"""C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe"" ",C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe,{365ABB72-551C-5C91-0000-001030590500},2704,Microsoft® Windows® Operating System,1,EXAMPLE\user01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible Shim Database Persistence via sdbinst.exe,Detects installation of a new shim using sdbinst.exe. A shim can be used to load malicious DLLs into applications.
7,Microsoft-Windows-Sysmon/Operational,PC01.example.corp,,1,1966444,1564,1252,persistence_sysmon_11_13_1_shime_appfix.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-03-19T20:52:26.364512000Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\sdbinst.exe,{365ABB72-568A-5C91-0000-0010D24B0800},4072,,,2019-03-19 20:52:26.194,,,,,,,"""C:\Windows\system32\sdbinst.exe"" -q -u ""C:\Windows\AppPatch\Test.SDB  ""  ",Microsoft Corporation,C:\Windows\System32\,Application Compatibility Database Installer,6.0.7600.16385 (win7_rtm.090713-1255),"MD5=2996B3E7BBA42BEA62D386D9386EDE97,IMPHASH=87CBEAE39ADA9E96C7F27B94962CD83F",High,{365ABB72-5417-5C91-0000-002035340300},0x0000000000033435,"""C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe"" ",C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe,{365ABB72-551C-5C91-0000-001030590500},2704,Microsoft® Windows® Operating System,1,EXAMPLE\user01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible Shim Database Persistence via sdbinst.exe,Detects installation of a new shim using sdbinst.exe. A shim can be used to load malicious DLLs into applications.
8,Microsoft-Windows-Sysmon/Operational,PC01.example.corp,,1,1966449,1564,1252,persistence_sysmon_11_13_1_shime_appfix.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-03-19T20:52:47.124363200Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\sdbinst.exe,{365ABB72-569F-5C91-0000-001012610800},2548,,,2019-03-19 20:52:47.054,,,,,,,"""C:\Windows\system32\sdbinst.exe"" -q ""C:\Windows\AppPatch\Test.SDB  ""  ",Microsoft Corporation,C:\Windows\System32\,Application Compatibility Database Installer,6.0.7600.16385 (win7_rtm.090713-1255),"MD5=2996B3E7BBA42BEA62D386D9386EDE97,IMPHASH=87CBEAE39ADA9E96C7F27B94962CD83F",High,{365ABB72-5417-5C91-0000-002035340300},0x0000000000033435,"""C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe"" ",C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe,{365ABB72-551C-5C91-0000-001030590500},2704,Microsoft® Windows® Operating System,1,EXAMPLE\user01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible Shim Database Persistence via sdbinst.exe,Detects installation of a new shim using sdbinst.exe. A shim can be used to load malicious DLLs into applications.
9,Microsoft-Windows-Sysmon/Operational,PC01.example.corp,,1,1966464,1564,1252,persistence_sysmon_11_13_1_shime_appfix.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,1,2019-03-19T20:52:47.474867200Z,5,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\sdbinst.exe,{365ABB72-569F-5C91-0000-0010D96C0800},3140,,,2019-03-19 20:52:47.364,,,,,,,"""C:\Windows\system32\sdbinst.exe"" -q -u ""C:\Windows\AppPatch\Test.SDB  ""  ",Microsoft Corporation,C:\Windows\System32\,Application Compatibility Database Installer,6.0.7600.16385 (win7_rtm.090713-1255),"MD5=2996B3E7BBA42BEA62D386D9386EDE97,IMPHASH=87CBEAE39ADA9E96C7F27B94962CD83F",High,{365ABB72-5417-5C91-0000-002035340300},0x0000000000033435,"""C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe"" ",C:\Program Files\Microsoft Application Compatibility Toolkit\Compatibility Administrator (32-bit)\Compatadmin.exe,{365ABB72-551C-5C91-0000-001030590500},2704,Microsoft® Windows® Operating System,1,EXAMPLE\user01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Possible Shim Database Persistence via sdbinst.exe,Detects installation of a new shim using sdbinst.exe. A shim can be used to load malicious DLLs into applications.
