,Channel,Computer,Correlation,EventID,EventRecordID,Execution_ProcessID,Execution_ThreadID,FileName,Keywords,Level,Opcode,Provider_Guid,Provider_Name,Security_UserID,Task,TimeCreated_SystemTime,Version,Accesslist,Accessmask,Additionalinfo,Additionalinfo2,Handleid,Objectname,Objectserver,Objecttype,Operationtype,Properties,Subjectdomainname,Subjectlogonid,Subjectusername,Subjectusersid,Appcorrelationid,Attributeldapdisplayname,Attributesyntaxoid,Attributevalue,Dsname,Dstype,Objectclass,Objectdn,Objectguid,Opcorrelationid,Details,Eventtype,Image,Processguid,Processid,Rulename,Targetobject,Utctime,Membername,Membersid,Privilegelist,Targetdomainname,Targetsid,Targetusername,Commandline,Company,Currentdirectory,Description,Fileversion,Hashes,Integritylevel,Logonguid,Logonid,Parentcommandline,Parentimage,Parentprocessguid,Parentprocessid,Product,Terminalsessionid,User,Accountexpires,Allowedtodelegateto,Computeraccountchange,Displayname,Dnshostname,Homedirectory,Homepath,Logonhours,Newuacvalue,Olduacvalue,Passwordlastset,Primarygroupid,Profilepath,Samaccountname,Scriptpath,Serviceprincipalnames,Sidhistory,Useraccountcontrol,Userparameters,Userprincipalname,Userworkstations,Creationutctime,Targetfilename,Catalog,Category,Guid,Installer,Lspname,String,String2,String3,Bytestotal,Bytestransferred,Bytestransferredfrompeer,Filelength,Filetime,Id,Name,Peer,Transferid,Url,Additionalinfohr,Bandwidthlimit,Hr,Ignorebandwidthlimitsonlan,Peercontextinfo,Peerprotocolflags,Proxy,Calltrace,Grantedaccess,Sourceimage,Sourceprocessguid,Sourceprocessid,Sourcethreadid,Targetimage,Targetprocessguid,Targetprocessid,Imageloaded,Signature,Signaturestatus,Signed,Destinationhostname,Destinationip,Destinationisipv6,Destinationport,Destinationportname,Initiated,Protocol,Sourcehostname,Sourceip,Sourceisipv6,Sourceport,Sourceportname,Originalfilename,Destination,Operation,Type,Consumer,Filter,Eventnamespace,Query,Authenticationpackagename,Impersonationlevel,Ipaddress,Ipport,Keylength,Lmpackagename,Logonprocessname,Logontype,Processname,Targetlogonid,Targetusersid,Transmittedservices,Workstationname,Restrictedsidcount,Transactionid,Sidlist,Sourcesid,Sourceusername,Pipename,Elevatedtoken,Restrictedadminmode,Targetlinkedlogonid,Targetoutbounddomainname,Targetoutboundusername,Virtualaccount,Accessreason,Relativetargetname,Sharelocalpath,Sharename,Newthreadid,Startaddress,Startfunction,Startmodule,Taskcontent,Taskname,Schemaversion,State,Packagename,Status,Workstation,Targetinfo,Targetlogonguid,Targetservername,Newprocessid,Newprocessname,Tokenelevationtype,Service,Hash,Archived,Isexecutable,Queryname,Queryresults,Querystatus,Accountname,Imagepath,Servicename,Servicetype,Starttype,Disabledprivilegelist,Enabledprivilegelist
0,Microsoft-Windows-Sysmon/Operational,IEWIN7,,10,16117,2032,2020,sysmon_20_21_1_CommandLineEventConsumer.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,10,2019-05-11T17:58:54.762534600Z,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-11 17:58:54.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\SYSTEM32\ntdll.dll+4591c|C:\Windows\system32\KERNELBASE.dll+8185|c:\python27\DLLs\_ctypes.pyd+ed6a|c:\python27\DLLs\_ctypes.pyd+d9d6|c:\python27\DLLs\_ctypes.pyd+999e|c:\python27\DLLs\_ctypes.pyd+a1ce|c:\python27\DLLs\_ctypes.pyd+5b71|C:\Windows\system32\python27.dll+8f14c|C:\Windows\system32\python27.dll+113384|C:\Windows\system32\python27.dll+112f24|C:\Windows\system32\python27.dll+110c7e|C:\Windows\system32\python27.dll+113001|C:\Windows\system32\python27.dll+112f12|C:\Windows\system32\python27.dll+110c7e|C:\Windows\system32\python27.dll+113001|C:\Windows\system32\python27.dll+112f12,0x00001410,c:\python27\python.exe,{365ABB72-0D3E-5CD7-0000-0010680E1600},1832,2796,C:\Windows\system32\winlogon.exe,{365ABB72-8693-5CD7-0000-0010F4570000},444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Microsoft-Windows-Sysmon/Operational,IEWIN7,,10,16118,2032,2020,sysmon_20_21_1_CommandLineEventConsumer.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,10,2019-05-11T17:58:54.762534600Z,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-11 17:58:54.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\SYSTEM32\ntdll.dll+4591c|C:\Windows\system32\KERNELBASE.dll+8185|c:\python27\DLLs\_ctypes.pyd+ed6a|c:\python27\DLLs\_ctypes.pyd+d9d6|c:\python27\DLLs\_ctypes.pyd+999e|c:\python27\DLLs\_ctypes.pyd+a1ce|c:\python27\DLLs\_ctypes.pyd+5b71|C:\Windows\system32\python27.dll+8f14c|C:\Windows\system32\python27.dll+113384|C:\Windows\system32\python27.dll+112f24|C:\Windows\system32\python27.dll+110c7e|C:\Windows\system32\python27.dll+113001|C:\Windows\system32\python27.dll+112f12|C:\Windows\system32\python27.dll+110c7e|C:\Windows\system32\python27.dll+113001|C:\Windows\system32\python27.dll+112f12,0x00001410,c:\python27\python.exe,{365ABB72-0D3E-5CD7-0000-0010680E1600},1832,2796,C:\Windows\system32\lsass.exe,{365ABB72-8693-5CD7-0000-0010765E0000},492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,10,339221,3332,4376,CVE-2020-0796_SMBV3Ghost_LocalPrivEsc_Sysmon_3_1_10.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,10,2020-07-26T22:26:14.522570500Z,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-26 22:26:14.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\SYSTEM32\ntdll.dll+9fc24|C:\Windows\System32\KERNELBASE.dll+212ee|UNKNOWN(000001A063DE13D4),0x001fffff,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,{747F3D96-FF9D-5F1D-0000-00100AC62400},7400,2812,C:\Windows\system32\winlogon.exe,{747F3D96-F938-5F1D-0000-00104B500000},584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Microsoft-Windows-Sysmon/Operational,IEWIN7,,10,5409,324,2260,privesc_rotten_potato_from_webshell_metasploit_sysmon_1_8_3.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,10,2019-05-26T15:47:56.667118900Z,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-26 15:47:56.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\SYSTEM32\ntdll.dll+4530c|C:\Windows\system32\kernel32.dll+51133|C:\Windows\system32\kernel32.dll+5cc37|C:\Windows\system32\kernel32.dll+20ae|UNKNOWN(0358F723)|UNKNOWN(010B7486)|UNKNOWN(010B73A0)|UNKNOWN(010B78A3)|C:\Windows\system32\kernel32.dll+4ef3c|C:\Windows\SYSTEM32\ntdll.dll+63618|C:\Windows\SYSTEM32\ntdll.dll+635eb,0x001fffff,c:\windows\system32\inetsrv\w3wp.exe,{365ABB72-B26B-5CEA-0000-0010582A0800},2744,168,C:\Windows\System32\notepad.exe,{365ABB72-B52C-5CEA-0000-00107A0D1100},3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Microsoft-Windows-Sysmon/Operational,IEWIN7,,10,5410,324,2260,privesc_rotten_potato_from_webshell_metasploit_sysmon_1_8_3.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,10,2019-05-26T15:47:56.727205300Z,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-26 15:47:56.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\SYSTEM32\ntdll.dll+4591c|C:\Windows\system32\KERNELBASE.dll+8185|UNKNOWN(0358F03E)|UNKNOWN(010B7486)|UNKNOWN(010B73A0)|UNKNOWN(010B78A3)|C:\Windows\system32\kernel32.dll+4ef3c|C:\Windows\SYSTEM32\ntdll.dll+63618|C:\Windows\SYSTEM32\ntdll.dll+635eb,0x00001fff,c:\windows\system32\inetsrv\w3wp.exe,{365ABB72-B26B-5CEA-0000-0010582A0800},2744,932,C:\Windows\System32\notepad.exe,{365ABB72-B52C-5CEA-0000-00107A0D1100},3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Microsoft-Windows-Sysmon/Operational,IEWIN7,,8,5411,324,2260,privesc_rotten_potato_from_webshell_metasploit_sysmon_1_8_3.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,8,2019-05-26T15:47:57.628501300Z,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-26 15:47:57.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\inetsrv\w3wp.exe,{365ABB72-B26B-5CEA-0000-0010582A0800},2744,,C:\Windows\System32\notepad.exe,{365ABB72-B52C-5CEA-0000-00107A0D1100},3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520,0x005A28D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,10,342410,3344,4176,privesc_spoolsv_spl_file_write_sysmon11.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,10,2020-08-12T13:05:45.570757300Z,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-12 13:05:45.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\SYSTEM32\ntdll.dll+9fc24|C:\Windows\System32\KERNELBASE.dll+212ee|C:\Windows\System32\appresolver.dll+22098|C:\Windows\System32\appresolver.dll+1f0e6|C:\Windows\System32\appresolver.dll+1ee4f|C:\Windows\Explorer.EXE+4f551|C:\Windows\Explorer.EXE+4f3e8|C:\Windows\Explorer.EXE+37f41|C:\Windows\Explorer.EXE+3725b|C:\Windows\Explorer.EXE+34491|C:\Windows\Explorer.EXE+32f07|C:\Windows\Explorer.EXE+323bc|C:\Windows\Explorer.EXE+484cc|C:\Windows\Explorer.EXE+70048|C:\Windows\System32\USER32.dll+174c6|C:\Windows\System32\USER32.dll+171ec|C:\Windows\System32\USER32.dll+6e60|C:\Windows\SYSTEM32\ntdll.dll+a34b4|UNKNOWN(FFFFF8022626EBA5)|UNKNOWN(FFFF80A36CE0CA38)|UNKNOWN(FFFF80A36CD65C90)|UNKNOWN(FFFF80A36CD6A66D)|UNKNOWN(FFFF80A36CD6AEE8)|UNKNOWN(FFFF80A36CD6A9D7),0x00001410,C:\Windows\Explorer.EXE,{747F3D96-E914-5F33-0000-001009990500},5144,5208,C:\Program Files (x86)\FileZilla Server\FileZilla Server Interface.exe,{747F3D96-E928-5F33-0000-0010B8330D00},7480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Microsoft-Windows-Sysmon/Operational,IEWIN7,,10,11124,1980,1904,Sysmon_13_1_UACBypass_SDCLTBypass.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,10,2019-05-09T02:07:51.131697600Z,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-09 02:07:51.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\SYSTEM32\ntdll.dll+4530c|C:\Windows\system32\kernel32.dll+51133|C:\Windows\system32\kernel32.dll+2079|C:\Windows\system32\shell32.dll+15595|C:\Windows\system32\shell32.dll+22b92|C:\Windows\system32\shell32.dll+15399|C:\Windows\system32\shell32.dll+2f5d9|C:\Windows\system32\shell32.dll+149e4|C:\Windows\system32\shell32.dll+2f65b|C:\Windows\system32\shell32.dll+14b2b|C:\Windows\system32\shell32.dll+2223c|C:\Windows\system32\shell32.dll+16761|C:\Windows\system32\shell32.dll+21e44|C:\Windows\system32\shell32.dll+21ea7|UNKNOWN(044216FE)|C:\Windows\assembly\NativeImages_v2.0.50727_32\System\4ad0c43b7c3d76c0c58b03b29710fea7\System.ni.dll+5c9682,0x001fffff,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,{365ABB72-88DC-5CD3-0000-00100DA51A00},2704,656,C:\Windows\system32\sdclt.exe,{365ABB72-8B77-5CD3-0000-0010E8FD2900},3836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Microsoft-Windows-Sysmon/Operational,IEWIN7,,10,11125,1980,1904,Sysmon_13_1_UACBypass_SDCLTBypass.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,10,2019-05-09T02:07:56.149275700Z,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-09 02:07:56.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\SYSTEM32\ntdll.dll+4591c|C:\Windows\system32\KERNELBASE.dll+8185|UNKNOWN(012BAECF)|C:\Windows\assembly\NativeImages_v2.0.50727_32\System\4ad0c43b7c3d76c0c58b03b29710fea7\System.ni.dll+5c9ca0|C:\Windows\assembly\NativeImages_v2.0.50727_32\System\4ad0c43b7c3d76c0c58b03b29710fea7\System.ni.dll+5517d9|C:\Windows\assembly\NativeImages_v2.0.50727_32\System\4ad0c43b7c3d76c0c58b03b29710fea7\System.ni.dll+551863|C:\Windows\assembly\NativeImages_v2.0.50727_32\System\4ad0c43b7c3d76c0c58b03b29710fea7\System.ni.dll+550575|UNKNOWN(00210A31)|UNKNOWN(04B106A4)|UNKNOWN(04A47EA0)|UNKNOWN(04A479A9)|UNKNOWN(0497273E)|UNKNOWN(04972678)|UNKNOWN(0463FC4F)|UNKNOWN(049762BA)|UNKNOWN(04975DE2),0x001f1fff,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,{365ABB72-88DC-5CD3-0000-00100DA51A00},2704,2784,C:\Windows\system32\sdclt.exe,{365ABB72-8B77-5CD3-0000-0010E8FD2900},3836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Microsoft-Windows-Sysmon/Operational,IEWIN7,,10,11114,1980,1904,Sysmon_13_1_UAC_Bypass_EventVwrBypass.evtx,0x8000000000000000,4,0,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,10,2019-05-09T01:59:28.684647100Z,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-09 01:59:28.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\SYSTEM32\ntdll.dll+4530c|C:\Windows\system32\kernel32.dll+51133|C:\Windows\system32\kernel32.dll+2079|C:\Windows\system32\shell32.dll+15595|C:\Windows\system32\shell32.dll+22b92|C:\Windows\system32\shell32.dll+15399|C:\Windows\system32\shell32.dll+2f5d9|C:\Windows\system32\shell32.dll+149e4|C:\Windows\system32\shell32.dll+2f65b|C:\Windows\system32\shell32.dll+14b2b|C:\Windows\system32\shell32.dll+2223c|C:\Windows\system32\shell32.dll+16761|C:\Windows\system32\shell32.dll+21e44|C:\Windows\system32\shell32.dll+21ea7|UNKNOWN(044216FE)|C:\Windows\assembly\NativeImages_v2.0.50727_32\System\4ad0c43b7c3d76c0c58b03b29710fea7\System.ni.dll+5c9682,0x001fffff,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,{365ABB72-88DC-5CD3-0000-00100DA51A00},2704,3312,C:\Windows\system32\eventvwr.exe,{365ABB72-8980-5CD3-0000-0010972D1F00},3752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
