,Channel,Computer,Correlation,Details,EventID,EventRecordID,Eventtype,Execution_ProcessID,Execution_ThreadID,FileName,Image,Keywords,Level,Opcode,Processguid,Processid,Provider_Guid,Provider_Name,Rulename,Security_UserID,Targetobject,Task,TimeCreated_SystemTime,Utctime,Version,Membername,Membersid,Privilegelist,Subjectdomainname,Subjectlogonid,Subjectusername,Subjectusersid,Targetdomainname,Targetsid,Targetusername,String,String2,String3,Bytestotal,Bytestransferred,Bytestransferredfrompeer,Filelength,Filetime,Id,Name,Peer,Transferid,Url,Additionalinfohr,Bandwidthlimit,Hr,Ignorebandwidthlimitsonlan,Peercontextinfo,Peerprotocolflags,Proxy,Commandline,Company,Currentdirectory,Description,Fileversion,Hashes,Integritylevel,Logonguid,Logonid,Parentcommandline,Parentimage,Parentprocessguid,Parentprocessid,Product,Terminalsessionid,User,Creationutctime,Targetfilename,Calltrace,Grantedaccess,Sourceimage,Sourceprocessguid,Sourceprocessid,Sourcethreadid,Targetimage,Targetprocessguid,Targetprocessid,Imageloaded,Signature,Signaturestatus,Signed
0,Microsoft-Windows-Sysmon/Operational,MSEDGEWIN10,,"""c:\windows\tasks\taskhost.exe""",13,306346,SetValue,3400,4136,evasion_persis_hidden_run_keyvalue_sysmon_13.evtx,C:\Users\Public\tools\evasion\a.exe,0x8000000000000000,4,0,{747F3D96-8FD2-5F00-0000-0010C15D2200},3728,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,Persistence - Hidden Run value detected,,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\,13,2020-07-04T14:18:58.268712600Z,2020-07-04 14:18:58.231,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Security,MSEDGEWIN10,,,4732,191029,,624,4452,Network_Service_Guest_added_to_admins_4732.evtx,,0x8020000000000000,0,0,,,{54849625-5478-4994-A5BA-3E3B0328C30D},Microsoft-Windows-Security-Auditing,,,,13826,2019-09-22T11:22:05.201727100Z,,0,-,S-1-5-21-3461203602-4096304019-2269080069-501,-,MSEDGEWIN10,0x000000000027a10f,IEUser,S-1-5-21-3461203602-4096304019-2269080069-1000,Builtin,S-1-5-32-544,Administrators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Security,MSEDGEWIN10,,,4732,191030,,624,5108,Network_Service_Guest_added_to_admins_4732.evtx,,0x8020000000000000,0,0,,,{54849625-5478-4994-A5BA-3E3B0328C30D},Microsoft-Windows-Security-Auditing,,,,13826,2019-09-22T11:23:19.251925800Z,,0,-,S-1-5-20,-,MSEDGEWIN10,0x000000000027a10f,IEUser,S-1-5-21-3461203602-4096304019-2269080069-1000,Builtin,S-1-5-32-544,Administrators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Microsoft-Windows-Bits-Client/Operational,IEWIN7,,,3,3815,,964,984,persist_bitsadmin_Microsoft-Windows-Bits-Client-Operational.evtx,,0x4000000000000000,4,0,,,{EF1CC15B-46C1-414E-BB95-E76B077BD51E},Microsoft-Windows-Bits-Client,,,,0,2019-05-12T18:02:05.215197700Z,,0,,,,,,,,,,,backdoor,IEWIN7\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Microsoft-Windows-Bits-Client/Operational,IEWIN7,,,59,3817,,964,1404,persist_bitsadmin_Microsoft-Windows-Bits-Client-Operational.evtx,,0x4000000000000000,4,1,,,{EF1CC15B-46C1-414E-BB95-E76B077BD51E},Microsoft-Windows-Bits-Client,,,,0,2019-05-12T18:04:50.121447700Z,,1,,,,,,,,,,,,,,302592,0,0,302592,2010-11-20T12:17:00.401000000Z,{B35C4A1D-4425-45BE-92D1-B67183AE222F},backdoor,,{2515F08C-3969-4086-B4EC-6E8ECA6B722E},C:\Windows\system32\cmd.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Microsoft-Windows-Bits-Client/Operational,IEWIN7,,,60,3818,,964,2428,persist_bitsadmin_Microsoft-Windows-Bits-Client-Operational.evtx,,0x4000000000000000,4,2,,,{EF1CC15B-46C1-414E-BB95-E76B077BD51E},Microsoft-Windows-Bits-Client,,,,0,2019-05-12T18:04:50.137072700Z,,1,,,,,,,,,,,,,,302592,302592,0,302592,2010-11-20T12:17:00.401000000Z,{B35C4A1D-4425-45BE-92D1-B67183AE222F},backdoor,,{2515F08C-3969-4086-B4EC-6E8ECA6B722E},C:\Windows\system32\cmd.exe,0,18446744073709551615,0,false,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Microsoft-Windows-Bits-Client/Operational,IEWIN7,,,3,3825,,964,2088,persist_bitsadmin_Microsoft-Windows-Bits-Client-Operational.evtx,,0x4000000000000000,4,0,,,{EF1CC15B-46C1-414E-BB95-E76B077BD51E},Microsoft-Windows-Bits-Client,,,,0,2019-05-13T14:50:01.999051100Z,,0,,,,,,,,,,,hola,IEWIN7\IEUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Microsoft-Windows-Bits-Client/Operational,IEWIN7,,,59,3827,,964,1460,persist_bitsadmin_Microsoft-Windows-Bits-Client-Operational.evtx,,0x4000000000000000,4,1,,,{EF1CC15B-46C1-414E-BB95-E76B077BD51E},Microsoft-Windows-Bits-Client,,,,0,2019-05-13T14:50:59.389676100Z,,1,,,,,,,,,,,,,,302592,0,0,302592,2010-11-20T12:17:00.401000000Z,{51607467-5AB5-4DCB-AAF0-FB92C997C0BD},hola,,{905EB165-B377-4DEC-929B-6F6F124E02AA},C:\Windows\system32\cmd.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Microsoft-Windows-Bits-Client/Operational,IEWIN7,,,60,3828,,964,3176,persist_bitsadmin_Microsoft-Windows-Bits-Client-Operational.evtx,,0x4000000000000000,4,2,,,{EF1CC15B-46C1-414E-BB95-E76B077BD51E},Microsoft-Windows-Bits-Client,,,,0,2019-05-13T14:50:59.405301100Z,,1,,,,,,,,,,,,,,302592,302592,0,302592,2010-11-20T12:17:00.401000000Z,{51607467-5AB5-4DCB-AAF0-FB92C997C0BD},hola,,{905EB165-B377-4DEC-929B-6F6F124E02AA},C:\Windows\system32\cmd.exe,0,18446744073709551615,0,false,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Microsoft-Windows-Sysmon/Operational,IEWIN7,,,1,370,,3416,3496,persist_firefox_comhijack_sysmon_11_13_7_1.evtx,C:\Users\IEUser\Downloads\com-hijack.exe,0x8000000000000000,4,0,{365ABB72-47BB-5CE3-0000-0010BFA83E00},1912,{5770385F-C22A-43E0-BF4C-06F5698FFBD9},Microsoft-Windows-Sysmon,,,,1,2019-05-21T00:35:07.308923300Z,2019-05-21 00:35:07.297,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""C:\Users\IEUser\Downloads\com-hijack.exe"" ",?,C:\Users\IEUser\Downloads\,?,?,"SHA1=6F598827EFE472BC8D98CD173AD49B35B041000C,MD5=4177769EEF9E078971DA6EE31BDAE45F,SHA256=E624863387832C7BBE47D17A346AAB6A76638A2C9B5368FD7308A28775F1478A,IMPHASH=9E0317422070F8D5638E230F22763466",High,{365ABB72-39CC-5CE3-0000-002096C70000},0x000000000000c796,C:\Windows\Explorer.EXE,C:\Windows\explorer.exe,{365ABB72-39CD-5CE3-0000-0010A0E30000},1376,?,1,IEWIN7\IEUser,,,,,,,,,,,,,,,
